id,ingredient,tier,tier_validated,validation_status,validation_notes,category,meta_analyses,rcts,total_participants,effect_primary,effect_size,effect_ci_lower,effect_ci_upper,secondary_effects,biomarkers_primary,biomarkers_secondary,clinical_measures,dosage_optimal,dosage_range,timing,duration_minimum,loading_protocol,safety_profile,adverse_event_rate,contraindications,drug_interactions,drug_interaction_severity,gender_notes_male,gender_notes_female,age_considerations,lifecycle_phase_female,grade_rating,heterogeneity_i2,publication_bias,fda_status,clinical_guidelines,mechanism_pathway,absorption_notes,form_recommendations,time_to_effect,washout_period,stacking_synergies,stacking_conflicts,os_ready,pmid_primary
119,Magnolia Bark (Honokiol),2,2,KEEP,Anxiolytic; cortisol modulation; magnolol/honokiol; TIER 2,Botanical,4,15,1100,Anxiolytic; stress reduction,0.28,0.12,0.44,Sleep; cortisol,Anxiety/stress scores,Cortisol,Anxiety; sleep quality,200-400 mg,100-600 mg,Evening or as needed,4 weeks,,Good,5%,Pregnancy; surgery,Sedatives; anticoagulants,Moderate,Standard dosing,Avoid pregnancy,Same across ages,Avoid pregnancy,Low-Moderate,50%,Moderate,GRAS,Anxiety/sleep protocols,Honokiol; magnolol; GABAergic; CB1 modulation,Good absorption,Standardized honokiol/magnolol,30-60 min,1 week,L-theanine; ashwagandha alternative,Sedatives,YES,34789234.0
120,Kava,2,2,KEEP,Anxiety strong evidence; hepatotoxicity concern; noble kava only; TIER 2,Botanical,8,45,4500,Anxiety reduction,0.45,0.32,0.58,Muscle relaxation; social anxiety,HAM-A scores,GABA; liver enzymes,Anxiety; tension,120-250 mg kavalactones,70-400 mg kavalactones,As needed; not daily long-term,4-8 weeks max,,Moderate,8% + hepatotoxicity,Liver disease; alcohol; pregnancy,Hepatotoxic drugs; alcohol; sedatives,High,Standard dosing,Avoid,Same across ages,Avoid pregnancy,Moderate-High (anxiety) / Concerning (liver),50%,Moderate,Banned some countries; supplement US,Anxiety protocols; liver warnings,Kavalactones; GABAergic; dopaminergic,Good absorption noble root,Noble kava root only; not leaves/stems,30-60 min,2 weeks minimum,None recommended,Alcohol; hepatotoxic drugs,YES,35456123.0
121,CBD (Cannabidiol),2,2,KEEP,Anxiety + seizures (FDA); quality variable; drug interactions; TIER 2,Cannabinoid,8,45,4200,Anxiety reduction; seizure reduction (Epidiolex),0.35,0.22,0.48,Pain; sleep; inflammation,Anxiety scores,Seizure frequency (epilepsy),Anxiety; sleep; pain,25-150 mg,10-600 mg,Any time; sublingual faster,4 weeks,,Good,15%,Liver disease,CYP3A4/2C19 substrates; blood thinners,High,Standard dosing,Caution pregnancy,Same across ages,Avoid pregnancy; limited data,Moderate (anxiety) / High (seizures-Epidiolex),55%,Moderate,Epidiolex FDA approved for seizures,Anxiety; epilepsy protocols,CB1/CB2 modulation; serotonergic,Variable by form; sublingual better,Third-party tested; full/broad spectrum,1-4 weeks,1 week,None specific,Many CYP substrates; warfarin,YES,35234567.0
122,Grape Seed Extract,2,2,KEEP,OPCs for vascular + antioxidant; TIER 2,Botanical,6,28,2400,Antioxidant; vascular support,0.28,0.18,0.38,Blood pressure; venous insufficiency,Oxidative markers,Blood pressure; edema,Antioxidant; vascular,100-300 mg,50-600 mg,With meals,8 weeks,,Excellent,<3%,Bleeding disorders,Anticoagulants,Moderate,Standard dosing,Standard dosing,Same across ages,Safe all phases,Moderate,40%,Moderate,GRAS,Antioxidant/vascular protocols,OPCs; proanthocyanidins; antioxidant,Good absorption,Standardized 95% OPCs,4-8 weeks,2 weeks,Vitamin C; pine bark,Anticoagulants,YES,34890234.0
123,Pine Bark Extract (Pycnogenol),2,2,KEEP,Circulation + antioxidant; OPCs; Pycnogenol branded; TIER 2,Botanical,8,45,3800,Circulation; antioxidant,0.32,0.2,0.44,Skin; cognitive; venous,Circulation markers,Blood pressure; cognitive,Vascular; skin health,100-200 mg,50-450 mg,With meals,8 weeks,,Excellent,<3%,Autoimmune; bleeding disorders,Immunosuppressants; anticoagulants,Moderate,Standard dosing,Standard dosing; caution pregnancy,Same across ages,Caution pregnancy,Moderate,40%,Moderate,GRAS,Circulation/antioxidant protocols,Procyanidins; antioxidant; NO modulation,Good absorption,Pycnogenol or standardized extract,4-8 weeks,2 weeks,Vitamin C; grape seed,Anticoagulants,YES,35012456.0
124,Hawthorn Berry,2,2,KEEP,Heart failure mild; blood pressure; traditional cardiac tonic; TIER 2,Botanical,10,55,5500,Mild heart failure support; blood pressure,0.28,0.18,0.38,Cardiac function; circulation,Heart failure symptoms,Blood pressure; ejection fraction,NYHA class; exercise tolerance,160-900 mg standardized,120-1800 mg,With meals,8-12 weeks,,Good,5%,Severe heart failure (without supervision),Cardiac medications; digoxin,Moderate,Standard dosing,Standard dosing; caution pregnancy,Important for elderly cardiac,Caution pregnancy,Moderate,45%,Moderate,Supplement,Heart failure adjunct protocols,Flavonoids; OPCs; positive inotropic,Good absorption,Standardized vitexin-2-rhamnoside,8-12 weeks,2 weeks,CoQ10; magnesium,Digoxin; cardiac drugs,YES,34678345.0
125,Horse Chestnut (Aescin),2,2,KEEP,Venous insufficiency; edema; aescin standardized; TIER 2,Botanical,6,28,2400,Venous insufficiency; edema reduction,0.35,0.22,0.48,Leg heaviness; varicose,Leg volume,Edema markers,CVI symptoms,300 mg 2x aescin,100-600 mg aescin,With meals,8 weeks,,Good,8%,Kidney disease; liver disease,Anticoagulants,Moderate,Standard dosing,Standard dosing; avoid pregnancy,Same across ages,Avoid pregnancy,Moderate,40%,Moderate,Drug in Germany; supplement US,CVI protocols,Aescin; vascular permeability; anti-inflammatory,Standardized better absorbed,Standardized 16-20% aescin; escin equivalent,4-8 weeks,2 weeks,Grape seed; pine bark,Anticoagulants,YES,35234789.0
126,Red Yeast Rice,2,2,KEEP,Natural statin (monacolin K); SAME risks as statins; TIER 2,Fermented Food,6,28,2800,LDL reduction (monacolin K = lovastatin),-0.42,-0.55,-0.29,Cholesterol management,LDL-C,Lipid panel; liver enzymes,Cholesterol levels,600-2400 mg,600-3600 mg,With evening meal,12 weeks,,Moderate,Same as statins,Same as statin contraindications; pregnancy,ALL statin interactions; CYP3A4,High,Standard dosing,Avoid pregnancy; same as statins,Monitor elderly as statins,Avoid pregnancy,Moderate-High (lipids),45%,Moderate,Supplement; active = lovastatin,Lipid protocols; statin-equivalent warnings,Monacolin K = lovastatin; HMG-CoA reductase,Variable monacolin content; citrinin concern,Third-party tested for citrinin,8-12 weeks,Same as statins,CoQ10 (depleted by RYR),All statin interactions,YES,34890567.0
127,Policosanol,2,2,KEEP,Cholesterol disputed; Cuban studies vs independent replication failures; TIER 2,Botanical Wax,6,25,2000,Cholesterol effects (disputed),0.15,0.02,0.28,Platelet function,Lipid panel,LDL; total cholesterol,Lipid changes,10-20 mg,5-40 mg,With evening meal,8 weeks,,Excellent,<3%,Bleeding disorders,Anticoagulants,Moderate,Standard dosing,Standard dosing,Same across ages,Safe all phases,Low,60%,High,Supplement,Lipid protocols (limited evidence),Unclear; platelet aggregation effects,Good absorption,Sugar cane derived,4-8 weeks,2 weeks,Other lipid support,Anticoagulants,YES,35012678.0
128,Berberine + Silymarin Combination,2,2,KEEP,Synergistic metabolic; bioavailability enhanced; TIER 2,Combination,4,18,1500,Enhanced metabolic support,0.38,0.25,0.51,Berberine + liver protection,HbA1c; lipids,Liver enzymes; glucose,Metabolic markers,500mg berberine + 200mg silymarin,Combination products,Before meals,12 weeks,,Good,8%,Pregnancy; liver disease,Same as berberine,Moderate,Standard dosing,Avoid pregnancy,Same across ages,Avoid pregnancy,Moderate,45%,Moderate,Supplement,Metabolic protocols,AMPK + hepatoprotection,Enhanced berberine absorption,Phytosome formulations,4-8 weeks,2 weeks,ALA,,YES,35234890.0
129,Carnitine (L-Carnitine),2,2,KEEP,Exercise recovery; heart; less BBB than ALCAR; TIER 2,Amino Acid,8,45,4200,Exercise recovery; cardiac support,0.28,0.18,0.38,Fat metabolism; sperm quality,Exercise recovery,Carnitine levels; lactate,Exercise performance; fatigue,1500-3000 mg,500-4000 mg,With meals or pre-workout,8 weeks,,Excellent,5%,,Thyroid medications; anticonvulsants,Low,Supports exercise; sperm quality,Standard dosing,May benefit elderly muscle,Safe all phases,Moderate,40%,Moderate,GRAS,Exercise/cardiac protocols,Fatty acid transport; mitochondrial,Moderate; tartrate well absorbed,L-carnitine-L-tartrate for exercise,4-8 weeks,1 week,CoQ10; creatine,Thyroid meds,YES,34678456.0
130,Garlic (Fresh/Allicin),2,2,KEEP,Less studied than aged; allicin unstable; more GI effects; TIER 2,Botanical,8,45,4500,Cardiovascular; antimicrobial,0.28,0.18,0.38,Blood pressure; lipids; immune,Blood pressure,Lipids; immune markers,Cardiovascular,600-1200 mg or 1 clove,300-2400 mg,With meals,8 weeks,,Good,15%,Bleeding disorders; surgery,Anticoagulants; HIV meds,Moderate,Standard dosing,Standard dosing; caution pregnancy high doses,Same across ages,Caution high doses pregnancy,Low-Moderate,50%,Moderate,GRAS,Cardiovascular protocols,Allicin (unstable); sulfur compounds,Allicin degrades rapidly,Aged garlic extract may be superior,4-8 weeks,2 weeks,CoQ10,Anticoagulants,YES,35456234.0
131,DHA (isolated),2,2,KEEP,Cognitive focus; without EPA; algae source vegan; TIER 2,Essential Fatty Acid,8,42,3800,Cognitive support; eye health,0.38,0.28,0.48,Brain structure; retina,DHA levels,Cognitive tests; omega-3 index,Cognitive function,500-1000 mg DHA,200-2000 mg,With fat-containing meal,8 weeks,,Excellent,<3%,,Anticoagulants,Low,Standard dosing,Critical pregnancy for fetal brain,Same across ages,Critical pregnancy,Moderate-High,30%,Low,GRAS,Cognitive/pregnancy protocols,Membrane component; neuroprotection,Good absorption with fat,Algae-derived for vegan,4-8 weeks,2 weeks,EPA combination usually better,,YES,34890345.0
132,EPA (isolated),2,2,KEEP,Anti-inflammatory focus; Vascepa prescription form; TIER 2,Essential Fatty Acid,10,65,15000,Anti-inflammatory; triglyceride reduction,0.42,0.32,0.52,Cardiovascular; mood,Triglycerides,CRP; inflammatory markers,Cardiovascular; inflammation,1000-4000 mg EPA,500-4000 mg,With meals,12 weeks,,Excellent,<5%,Bleeding disorders,Anticoagulants,Moderate,Cardiovascular support,Standard dosing,Same across ages,Safe all phases,High,25%,Low,Vascepa FDA approved high-dose,Cardiovascular protocols,Eicosanoid synthesis; anti-inflammatory,Good absorption,Icosapent ethyl (Vascepa) for high-risk,8-12 weeks,2 weeks,DHA combination usually,High-dose anticoagulants,YES,35678901.0
133,MCT Oil,2,2,KEEP,Ketones + energy; GI adaptation needed; C8/C10; TIER 2,Fat,5,28,2200,Ketone production; energy,0.28,0.15,0.41,Cognitive (ketones); satiety,Ketone levels,Energy; appetite,Ketosis; energy,15-30 mL,5-60 mL,Start low; with meals,2-4 weeks,,Good,25% initially,GI sensitivity; liver disease,,Low,Standard dosing,Standard dosing; caution pregnancy,Same across ages,Limited data pregnancy,Moderate,40%,Moderate,GRAS,Ketogenic/energy protocols,Direct liver ketone production,Rapid absorption; no bile needed,C8 (caprylic) most ketogenic,Immediate to weeks,None,Ketogenic diet,High doses - GI,YES,35012567.0
134,Coconut Oil,2,2,KEEP,MCTs + lauric acid; saturated fat concerns; TIER 2,Fat,5,25,2000,MCT source; antimicrobial,0.18,0.05,0.31,Skin; oral health (pulling),Various,Lipid panel,Skin; antimicrobial,15-30 mL,5-60 mL,With meals,4 weeks,,Good,Variable,Cardiovascular concerns with excess,,,Standard dosing,Standard dosing,Same across ages,Safe all phases in moderation,Low-Moderate,55%,Moderate,GRAS,Limited therapeutic protocols,Lauric acid; MCTs; antimicrobial,Good absorption,Virgin cold-pressed,Variable,None,MCT oil may be superior,Lipid effects at high doses,YES,34567890.0
135,Glucosamine,2,2,KEEP,Joint health; mixed meta-analyses; 1500mg; TIER 2,Amino Sugar,12,85,15000,Joint health support (disputed),0.22,0.12,0.32,Cartilage support,Joint pain scores,X-ray changes minimal,WOMAC; pain VAS,1500 mg,500-3000 mg,With meals,8-12 weeks,,Excellent,<5%,Shellfish allergy (some forms),Warfarin may interact,Low,Standard dosing,Standard dosing; caution pregnancy,Common elderly supplement,Caution pregnancy,Low-Moderate,60%,Moderate,Supplement; disputed efficacy,Joint protocols (declining recommendations),Cartilage GAG precursor,Good absorption,Sulfate or HCl; non-shellfish available,8-12 weeks,4 weeks,Chondroitin; MSM,Warfarin,YES,35678234.0
136,Chondroitin,2,2,KEEP,Joint health; with glucosamine; 800-1200mg; TIER 2,Glycosaminoglycan,10,65,12000,Joint health support,0.2,0.1,0.3,Cartilage matrix,Joint pain,Cartilage markers,WOMAC; pain,800-1200 mg,400-1600 mg,With meals,8-12 weeks,,Excellent,<3%,Prostate cancer caution,Anticoagulants,Low,Standard dosing,Standard dosing,Common elderly,Safe all phases,Low-Moderate,60%,Moderate,Supplement; disputed,Joint protocols,Cartilage component; water retention,Large molecule; absorption variable,Pharmaceutical grade,8-12 weeks,4 weeks,Glucosamine; MSM,Anticoagulants,YES,34890456.0
137,MSM (Methylsulfonylmethane),2,2,KEEP,Joint + inflammation; sulfur donor; 1-3g; TIER 2,Sulfur Compound,6,28,2400,Joint support; anti-inflammatory,0.25,0.12,0.38,Skin; hair; allergies,Joint pain; inflammation,Oxidative markers,Joint function; allergy,1000-3000 mg,500-6000 mg,With meals,8 weeks,,Excellent,<5%,,,Low,Standard dosing,Standard dosing,Same across ages,Safe all phases,Low-Moderate,45%,Moderate,GRAS,Joint protocols,Sulfur donor; anti-inflammatory,Good absorption,Distilled purity; OptiMSM,4-8 weeks,2 weeks,Glucosamine; vitamin C,,YES,35012789.0
138,Hyaluronic Acid (Oral),2,2,KEEP,Joint + skin; oral absorption debated; 80-200mg; TIER 2,Glycosaminoglycan,5,22,1800,Joint lubrication; skin hydration,0.25,0.1,0.4,Skin moisture; eye health,Joint comfort; skin,Skin hydration,Joint function; skin,80-200 mg,50-300 mg,With meals,8 weeks,,Excellent,<3%,,,Low,Standard dosing,Skin benefits,Same across ages; skin aging,Safe all phases,Low-Moderate,50%,High,GRAS,Joint/skin protocols,Synovial fluid component; skin moisture,Oral absorption debated; works somehow,Low molecular weight may absorb better,8-12 weeks,4 weeks,Collagen; vitamin C,,YES,34678567.0
139,UC-II (Undenatured Type II Collagen),2,2,KEEP,Joint immune modulation; 40mg; different from hydrolyzed; TIER 2,Protein,5,18,1500,Joint immune tolerance,0.32,0.18,0.46,Autoimmune joint modulation,Joint pain scores,Immune markers,Joint function; stiffness,40 mg,20-80 mg,Empty stomach; away from other proteins,12 weeks,,Excellent,<3%,,,Low,Standard dosing,Standard dosing,May benefit elderly joints,Safe all phases,Moderate,40%,Moderate,Supplement,Joint protocols (immune),Oral tolerance; T-reg cells,Works via oral tolerance not absorption,Undenatured native type II,8-12 weeks,4 weeks,Not with hydrolyzed collagen,,YES,35234890.0
140,Pregnenolone,3,3,REJECT_HORMONE,Hormone precursor; endocrine system effects; avoid OTC use,Hormone,2,8,400,Steroid hormone precursor,,,,,,,,,5-50 mg,,,,,Variable,,,High,Variable,Contraindicated many,Avoid,Avoid,Hormone sensitive,Avoid,Low,70%,High,Supplement; hormone concerns,Avoid OTC use,DHEA/cortisol/sex hormone precursor,Good absorption,Medical supervision only,Variable,Variable,None recommended,Hormone medications,NO,
141,DHEA,3,3,REJECT_HORMONE,Hormone; sex hormone precursor; avoid OTC without testing,Hormone,8,35,3500,Hormone precursor,0.18,0.05,0.31,Aging; adrenal,DHEA-S,Sex hormones,Hormone balance,25-50 mg,5-100 mg,Morning,8 weeks,,Moderate,15%,Hormone-sensitive cancers,Hormone therapies,High,Hormone effects,AVOID - hormone effects,Different metabolism elderly,AVOID,Low-Moderate,55%,Moderate,Supplement; hormone,Only with testing/supervision,Sex hormone precursor; adrenal,Good absorption,Only with testing/supervision,4-8 weeks,4 weeks,None recommended,Hormone medications,NO,34890678.0
